event_name,disaster_type,begin_date,end_date,cost_cpi_musd,cost_nominal_musd,deaths,disaster_group,south_florida_relevance
Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,2236.2,590.0,13,Hurricane,south_florida_affected
Gulf States Storms and Flooding (December 1982-January 1983),Flooding,1982-12-01,1983-01-15,4946.2,1536.1,45,Flood,south_florida_affected
Hurricane Alicia (August 1983),Tropical Cyclone,1983-08-17,1983-08-20,9450.0,3000.0,21,Hurricane,south_florida_affected
Southeast Drought (Summer 1983),Drought,1983-06-01,1983-08-31,9574.0,2964.1,0,Drought,south_florida_affected
Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,3788.4,1297.4,4,Hurricane,south_florida_affected
Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,2491.3,856.1,11,Hurricane,south_florida_affected
Hurricane Juan (October 1985),Tropical Cyclone,1985-10-27,1985-10-31,4340.4,1496.7,63,Hurricane,south_florida_affected
Southeast Drought/Heat Wave (Summer 1986),Drought,1986-06-01,1986-08-31,5194.5,1803.6,100,Drought,south_florida_affected
Tropical Storm Allison (June 1989),Tropical Cyclone,1989-06-26,1989-06-28,1485.9,585.0,11,Hurricane,south_florida_affected
Hurricane Hugo (September 1989),Tropical Cyclone,1989-09-21,1989-09-22,22679.7,8999.9,86,Hurricane,south_florida_affected
Hurricane Bob (August 1991),Tropical Cyclone,1991-08-18,1991-08-20,3471.8,1502.9,18,Hurricane,south_florida_affected
Hurricane Andrew (August 1992),Tropical Cyclone,1992-08-23,1992-08-27,60480.0,27000.0,61,Hurricane,south_florida_affected
Hurricane Iniki (September 1992),Tropical Cyclone,1992-09-11,1992-09-12,6913.0,3100.0,7,Hurricane,south_florida_affected
Southeast Severe Weather (November 1992),Severe Storm,1992-11-21,1992-11-23,1458.5,657.0,26,Severe Storm,south_florida_affected
East Coast Blizzard and Severe Weather (March 1993),Winter Storm,1993-03-11,1993-03-14,12159.4,5527.0,270,Winter Storm,south_florida_affected
Southeast Drought and Heat Wave (Summer 1993),Drought,1993-06-01,1993-08-31,2780.2,1258.0,16,Drought,south_florida_affected
Southeast Ice Storm (February 1994),Winter Storm,1994-02-08,1994-02-13,6444.9,2997.5,9,Winter Storm,south_florida_affected
Tropical Storm Alberto (July 1994),Tropical Cyclone,1994-07-07,1994-07-10,2126.8,998.5,32,Hurricane,south_florida_affected
Hurricane Erin (August 1995),Tropical Cyclone,1995-08-01,1995-08-07,1751.0,850.0,6,Hurricane,south_florida_affected
Hurricane Marilyn (September 1995),Tropical Cyclone,1995-09-15,1995-09-17,4326.0,2100.0,13,Hurricane,south_florida_affected
Hurricane Opal (October 1995),Tropical Cyclone,1995-10-04,1995-10-06,9612.5,4689.0,27,Hurricane,south_florida_affected
Hurricane Fran (September 1996),Tropical Cyclone,1996-09-05,1996-09-08,10014.0,5007.0,37,Hurricane,south_florida_affected
Tropical Storm Frances (September 1998),Tropical Cyclone,1998-08-08,1998-08-13,1351.0,700.0,2,Hurricane,south_florida_affected
Hurricane Bonnie (August 1998),Tropical Cyclone,1998-08-27,1998-08-29,1891.4,980.0,3,Hurricane,south_florida_affected
Hurricane Georges (September 1998),Tropical Cyclone,1998-09-20,1998-09-29,11550.1,5984.5,16,Hurricane,south_florida_affected
Hurricane Floyd (September 1999),Tropical Cyclone,1999-09-14,1999-09-16,12203.2,6491.0,77,Hurricane,south_florida_affected
Southeast Winter Storm (January 2000),Winter Storm,2000-01-21,2000-01-24,1320.3,706.0,4,Winter Storm,south_florida_affected
South Florida Flooding (October 2000),Flooding,2000-10-03,2000-10-04,1629.0,900.0,3,Flood,south_florida_only
Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),Drought,2000-03-01,2000-11-30,9344.8,4997.2,140,Drought,south_florida_affected
Tropical Storm Allison (June 2001),Tropical Cyclone,2001-06-05,2001-06-17,15084.0,8522.0,43,Hurricane,south_florida_affected
Hurricane Lili (October 2002),Tropical Cyclone,2002-08-01,2002-08-05,1932.9,1104.5,2,Hurricane,south_florida_affected
Tropical Storm Isidore (September 2002),Tropical Cyclone,2002-09-25,2002-09-27,2001.0,1150.0,5,Hurricane,south_florida_affected
Hurricane Isabel (September 2003),Tropical Cyclone,2003-09-18,2003-09-19,9322.9,5484.0,55,Hurricane,south_florida_affected
Hurricane Charley (August 2004),Tropical Cyclone,2004-08-13,2004-08-14,26559.2,15999.5,35,Hurricane,south_florida_affected
Hurricane Frances (September 2004),Tropical Cyclone,2004-09-03,2004-09-09,16268.0,9800.0,48,Hurricane,south_florida_affected
Hurricane Ivan (September 2004),Tropical Cyclone,2004-09-12,2004-09-21,34031.0,20500.5,57,Hurricane,south_florida_affected
Hurricane Jeanne (September 2004),Tropical Cyclone,2004-09-15,2004-09-29,12444.5,7496.5,28,Hurricane,south_florida_affected
Southeast Severe Weather (March 2005),Severe Storm,2005-03-24,2005-03-27,1410.0,865.0,0,Severe Storm,south_florida_affected
Hurricane Dennis (July 2005),Tropical Cyclone,2005-07-09,2005-07-11,4017.0,2495.0,15,Hurricane,south_florida_affected
Hurricane Katrina (August 2005),Tropical Cyclone,2005-08-25,2005-08-30,201297.5,125029.5,1833,Hurricane,south_florida_affected
Hurricane Rita (September 2005),Tropical Cyclone,2005-09-20,2005-09-24,29415.2,18500.1,119,Hurricane,south_florida_affected
Hurricane Wilma (October 2005),Tropical Cyclone,2005-10-24,2005-10-24,30020.0,19000.0,35,Hurricane,south_florida_affected
Southeast Tornadoes and Severe Weather (February 2008),Severe Storm,2008-02-05,2008-02-06,1805.3,1211.6,57,Severe Storm,south_florida_affected
Southeast Tornadoes (March 2008),Severe Storm,2008-03-14,2008-03-15,1673.9,1131.0,5,Severe Storm,south_florida_affected
Hurricane Dolly (July 2008),Tropical Cyclone,2008-07-23,2008-07-25,1812.2,1267.3,3,Hurricane,south_florida_affected
Hurricane Gustav (September 2008),Tropical Cyclone,2008-08-31,2008-09-03,8635.7,5997.0,53,Hurricane,south_florida_affected
Hurricane Ike (September 2008),Tropical Cyclone,2008-09-12,2008-09-14,43198.4,29998.8,112,Hurricane,south_florida_affected
South/Southeast Severe Weather and Tornadoes (April 2009),Severe Storm,2009-04-09,2009-04-10,2116.4,1430.1,6,Severe Storm,south_florida_affected
Hurricane Irene (August 2011),Tropical Cyclone,2011-08-26,2011-08-28,18756.7,13494.0,45,Hurricane,south_florida_affected
Tropical Storm Lee (September 2011),Tropical Cyclone,2011-09-01,2011-09-05,3492.4,2512.5,21,Hurricane,south_florida_affected
Hurricane Isaac (August 2012),Tropical Cyclone,2012-08-26,2012-08-31,3786.1,2763.5,9,Hurricane,south_florida_affected
Hurricane Sandy (October 2012),Tropical Cyclone,2012-10-30,2012-10-31,88453.9,65039.6,159,Hurricane,south_florida_affected
Southeast Severe Weather (March 2013),Severe Storm,2013-03-18,2013-03-18,2747.2,2020.0,1,Severe Storm,south_florida_affected
South/Southeast Severe Weather (April 2015),Severe Storm,2015-04-18,2015-04-20,1707.6,1283.9,0,Severe Storm,south_florida_affected
South and Southeast Severe Weather (April 2015),Severe Storm,2015-04-24,2015-04-25,1255.8,944.0,3,Severe Storm,south_florida_affected
South Carolina and East Coast Flooding (October 2015),Flooding,2015-10-01,2015-10-05,2657.6,1998.2,25,Flood,south_florida_affected
Southeast and Eastern Tornadoes (February 2016),Severe Storm,2016-02-22,2016-02-24,1383.5,1040.0,10,Severe Storm,south_florida_affected
South/Southeast Tornadoes (April 2016),Severe Storm,2016-04-26,2016-05-02,3160.8,2394.5,6,Severe Storm,south_florida_affected
Hurricane Matthew (October 2016),Tropical Cyclone,2016-10-08,2016-10-12,13100.0,10000.0,49,Hurricane,south_florida_affected
Western/Southeast Wildfires (Summer-Fall 2016),Wildfire,2016-06-01,2016-12-31,3137.5,2395.0,21,Wildfire,south_florida_affected
Central/Southeast Tornado Outbreak (March 2017),Severe Storm,2017-02-28,2017-03-01,2347.8,1806.0,6,Severe Storm,south_florida_affected
Southeast Freeze (March 2017),Freeze,2017-03-14,2017-03-16,1300.0,1000.0,0,Freeze,south_florida_affected
South/Southeast Severe Weather (March 2017),Severe Storm,2017-03-26,2017-03-28,3476.6,2695.0,0,Severe Storm,south_florida_affected
Southeast Severe Weather and Tornadoes (April 2017),Severe Storm,2017-04-04,2017-04-06,1259.2,976.0,1,Severe Storm,south_florida_affected
South and Southeast Severe Weather (April 2017),Severe Storm,2017-04-20,2017-04-22,1152.0,893.0,0,Severe Storm,south_florida_affected
Hurricane Harvey (August 2017),Tropical Cyclone,2017-08-25,2017-08-31,160000.0,125000.0,89,Hurricane,south_florida_affected
Hurricane Irma (September 2017),Tropical Cyclone,2017-09-06,2017-09-12,64000.0,50000.0,97,Hurricane,south_florida_affected
Hurricane Maria (September 2017),Tropical Cyclone,2017-09-19,2017-09-21,115200.0,90000.0,2981,Hurricane,south_florida_affected
Southeastern Tornadoes and Severe Weather (March 2018),Severe Storm,2018-03-18,2018-03-21,1844.1,1452.0,0,Severe Storm,south_florida_affected
Hurricane Florence (September 2018),Tropical Cyclone,2018-09-13,2018-09-16,30000.0,24000.0,53,Hurricane,south_florida_affected
Hurricane Michael (October 2018),Tropical Cyclone,2018-10-10,2018-10-11,31218.8,24975.0,49,Hurricane,south_florida_affected
South and Southeast Severe Weather (May 2019),Severe Storm,2019-05-07,2019-05-13,1862.4,1514.0,0,Severe Storm,south_florida_affected
Hurricane Dorian (September 2019),Tropical Cyclone,2019-08-28,2019-09-06,1980.3,1610.0,10,Hurricane,south_florida_affected
Tropical Storm Imelda (September 2019),Tropical Cyclone,2019-09-17,2019-09-21,6150.0,5000.0,5,Hurricane,south_florida_affected
Southeast Tornadoes and Northern Storms and Flooding (January 2020),Severe Storm,2020-01-10,2020-01-12,1401.8,1149.0,10,Severe Storm,south_florida_affected
Southeast and Eastern Tornado Outbreak (April 2020),Severe Storm,2020-04-12,2020-04-13,4236.2,3444.0,35,Severe Storm,south_florida_affected
Hurricane Hanna (July 2020),Tropical Cyclone,2020-07-25,2020-07-26,1300.8,1075.0,0,Hurricane,south_florida_affected
Hurricane Isaias (August 2020),Tropical Cyclone,2020-08-03,2020-08-04,5756.1,4757.0,16,Hurricane,south_florida_affected
Hurricane Laura (August 2020),Tropical Cyclone,2020-08-27,2020-08-28,28090.3,23215.0,42,Hurricane,south_florida_affected
Hurricane Sally (September 2020),Tropical Cyclone,2020-09-15,2020-09-17,8801.5,7274.0,5,Hurricane,south_florida_affected
Hurricane Delta (October 2020),Tropical Cyclone,2020-10-09,2020-10-11,3469.3,2867.0,5,Hurricane,south_florida_affected
Hurricane Zeta (October 2020),Tropical Cyclone,2020-10-28,2020-10-29,5266.0,4352.0,6,Hurricane,south_florida_affected
Tropical Storm Eta (November 2020),Tropical Cyclone,2020-11-08,2020-11-12,1766.7,1460.0,12,Hurricane,south_florida_affected
Southeast Tornadoes and Severe Weather (March 2021),Severe Storm,2021-03-24,2021-03-25,1995.8,1677.0,6,Severe Storm,south_florida_affected
Southern Tornadoes and Southeast Severe Weather (May 2021),Severe Storm,2021-05-02,2021-05-04,1479.1,1264.0,4,Severe Storm,south_florida_affected
Tropical Storm Elsa (July 2021),Tropical Cyclone,2021-07-07,2021-07-09,1407.1,1213.0,1,Hurricane,south_florida_affected
Tropical Storm Fred (August 2021),Tropical Cyclone,2021-08-16,2021-08-18,1481.3,1277.0,7,Hurricane,south_florida_affected
Hurricane Ida (August 2021),Tropical Cyclone,2021-08-29,2021-09-01,84608.1,73572.0,96,Hurricane,south_florida_affected
Hurricane Nicholas (September 2021),Tropical Cyclone,2021-09-14,2021-09-18,1168.5,1016.0,0,Hurricane,south_florida_affected
"Southeast, Central Tornado Outbreak (December 2021)",Severe Storm,2021-12-10,2021-12-10,4463.1,3915.0,93,Severe Storm,south_florida_affected
Southeast Tornado Outbreak (April 2022),Severe Storm,2022-04-04,2022-04-06,1544.8,1417.0,3,Severe Storm,south_florida_affected
Hurricane Fiona (September 2022),Tropical Cyclone,2022-09-17,2022-09-18,2685.7,2510.0,25,Hurricane,south_florida_affected
Hurricane Ian (September 2022),Tropical Cyclone,2022-09-28,2022-09-30,119626.0,111800.0,152,Hurricane,south_florida_affected
Hurricane Nicole (November 2022),Tropical Cyclone,2022-11-10,2022-11-11,1081.2,1020.0,5,Hurricane,south_florida_affected
Fort Lauderdale Flash Flood (April 2023),Flooding,2023-04-12,2023-04-13,1144.0,1100.0,0,Flood,south_florida_only
Hurricane Idalia (August 2023),Tropical Cyclone,2023-08-29,2023-08-31,3559.7,3456.0,5,Hurricane,south_florida_affected
East Coast Storm and Flooding (December 2023),Flooding,2023-12-16,2023-12-18,1314.4,1276.0,5,Flood,south_florida_affected
Southern Tornado Outbreak and East Coast Storm (January 2024),Severe Storm,2024-01-08,2024-01-10,2780.2,2726.0,3,Severe Storm,south_florida_affected
"Central, Southern, Southeastern Tornado Outbreak (May 2024)",Severe Storm,2024-05-06,2024-05-09,6571.0,6571.0,3,Severe Storm,south_florida_affected
Hurricane Beryl (July 2024),Tropical Cyclone,2024-07-08,2024-07-08,7219.0,7219.0,46,Hurricane,south_florida_affected
Hurricane Debby (August 2024),Tropical Cyclone,2024-08-05,2024-08-09,2476.0,2476.0,17,Hurricane,south_florida_affected
Hurricane Francine (September 2024),Tropical Cyclone,2024-09-11,2024-09-12,1291.0,1291.0,0,Hurricane,south_florida_affected
Hurricane Helene (September 2024),Tropical Cyclone,2024-09-24,2024-09-29,78721.0,78721.0,219,Hurricane,south_florida_affected
Hurricane Milton (October 2024),Tropical Cyclone,2024-10-09,2024-10-10,34250.0,34250.0,32,Hurricane,south_florida_affected
